,School Name,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Community School?,Economic Need Index,School Income Estimate,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged,Rigorous Instruction %,Collaborative Teachers %,Supportive Environment %,Effective School Leadership %,Strong Family-Community Ties %,Trust %,Percent Asian,Percent ELL,Percent Black,Student Attendance Rate,Percent Black / Hispanic,Percent White,Percent of Students Chronically Absent,Percent Hispanic
662,RALPH A. FABRIZIO SCHOOL,20K170,20,40.63037,-74.01870699999999,"7109 6TH AVE BROOKLYN, NY 11209",BROOKLYN,11209,"0K,01,02,03,04,05",0,0.747,"$51,600.25 ",Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,2.67,3.12,171,14,0,0,0,10,3,0,1,11,180,52,0,0,0,39,11,0,8,46,177,24,0,0,0,14,8,0,0,22,184,37,0,0,0,28,7,0,3,35,154,14,0,0,2,5,7,0,0,10,163,40,0,0,3,22,14,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.97,0.97,0.91,0.8300000000000001,0.97,0.45,0.36,0.01,0.96,0.2,0.34,0.09,0.19
663,P.S. 176 OVINGTON,20K176,20,40.624759000000005,-74.005074,"1225 69TH ST BROOKLYN, NY 11219",BROOKLYN,11219,"0K,01,02,03,04,05",0,0.696,"$49,261.36 ",Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,2.98,3.41,249,34,0,0,1,26,0,0,0,24,256,130,0,0,15,94,0,0,6,98,273,80,0,0,10,63,0,0,2,68,276,118,0,0,7,104,0,0,13,101,243,53,0,0,2,42,9,0,0,41,246,91,0,0,1,81,9,0,3,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9500000000000001,0.9500000000000001,0.96,0.89,0.8200000000000001,0.96,0.63,0.27,0.0,0.97,0.21,0.15,0.05,0.21
664,P.S. 179 KENSINGTON,20K179,20,40.64022,-73.977267,"202 AVE C BROOKLYN, NY 11218",BROOKLYN,11218,"PK,0K,01,02,03,04,05",0,0.8340000000000001,"$39,598.50 ",Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,2.39,2.51,125,4,0,0,1,3,0,0,0,3,134,16,0,0,4,12,0,0,1,10,129,7,0,0,0,6,1,0,0,5,135,10,0,0,0,10,0,0,0,9,130,6,0,0,1,2,3,0,0,3,141,3,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.86,0.96,0.78,0.78,0.91,0.56,0.47000000000000003,0.03,0.93,0.28,0.15,0.23,0.25
665,THE SEEALL ACADEMY,20K180,20,40.62659,-73.989464,"5601 16TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,"PK,0K,01,02,03,04,05,06,07,08",0,0.706,"$39,390.34 ",Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,2.74,3.03,81,4,0,0,0,3,1,0,0,3,84,18,0,0,0,15,1,0,1,16,89,22,0,0,0,9,4,0,0,17,93,17,0,0,0,10,3,0,0,12,86,9,0,0,0,4,4,0,0,8,87,21,0,0,0,12,7,0,0,19,178,35,0,0,5,26,4,0,0,26,178,79,0,0,6,62,11,0,2,67,161,20,0,0,0,14,3,0,0,20,162,54,0,0,0,45,5,0,0,54,151,22,0,0,0,13,3,0,0,19,121,13,0,0,0,8,3,0,0,10,0.93,0.9400000000000001,0.86,0.89,0.8,0.93,0.43,0.23,0.01,0.97,0.29,0.27,0.09,0.28
666,P.S. 185 WALTER KASSENBROCK,20K185,20,40.623635,-74.03349200000001,"8601 RIDGE BLVD BROOKLYN, NY 11209",BROOKLYN,11209,"0K,01,02,03,04,05",0,0.361,"$63,542.07 ",Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,2.9,3.11,108,15,0,0,1,2,12,0,0,4,110,33,0,0,2,8,23,0,1,8,111,35,0,0,2,0,25,0,0,9,116,42,0,0,1,0,29,0,0,13,108,24,0,0,1,0,21,0,0,5,108,32,0,0,1,0,27,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.98,0.98,0.92,0.86,0.97,0.08,0.07,0.0,0.9500000000000001,0.17,0.73,0.1,0.16
667,P.S. 186 DR. IRVING A GLADSTONE,20K186,20,40.611106,-73.99459300000001,"7601 19TH AVE BROOKLYN, NY 11214",BROOKLYN,11214,"PK,0K,01,02,03,04,05",0,0.659,"$46,905.81 ",Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,2.81,3.15,126,12,0,0,0,5,5,0,0,6,136,44,0,0,0,28,12,0,4,25,166,39,0,0,8,15,16,0,1,13,170,55,0,0,10,28,17,0,3,24,149,25,0,0,2,15,8,0,1,10,157,41,0,0,4,23,14,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.85,0.9400000000000001,0.79,0.8300000000000001,0.88,0.39,0.3,0.0,0.96,0.27,0.33,0.09,0.27
669,P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,20K192,20,40.628989000000004,-73.979862,"4715 18TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,"PK,0K,01,02,03,04,05,06,07,08",0,0.8,"$40,627.41 ",Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,2.46,2.59,63,8,0,0,3,0,5,0,0,5,65,10,0,0,3,1,6,0,0,6,65,11,0,0,6,1,4,0,1,4,68,8,0,0,5,1,2,0,0,3,69,3,0,0,1,0,1,0,0,1,70,3,0,0,0,0,2,0,0,1,65,11,0,0,5,3,0,0,0,9,66,14,0,0,7,3,0,0,1,13,47,2,0,0,1,0,0,0,0,1,47,8,0,0,4,2,0,0,0,3,53,11,0,0,4,5,2,0,0,8,53,13,0,0,3,7,3,0,0,8,0.9,0.89,0.89,0.78,0.81,0.9,0.2,0.3,0.02,0.9400000000000001,0.53,0.26,0.16,0.52
670,P.S. 200 BENSON SCHOOL,20K200,20,40.602902,-74.001826,"1940 BENSON AVE BROOKLYN, NY 11214",BROOKLYN,11214,"PK,0K,01,02,03,04,05",0,0.642,"$46,434.53 ",Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,2.76,3.13,203,8,0,0,0,3,5,0,0,3,210,47,0,0,0,18,27,0,1,28,203,49,0,0,0,15,30,0,0,27,208,72,0,0,0,28,38,0,2,41,215,23,0,0,0,11,11,0,0,14,223,52,0,0,0,23,26,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.8200000000000001,0.92,0.76,0.79,0.9,0.34,0.24,0.01,0.9500000000000001,0.22,0.43,0.15,0.21
672,P.S. 204 VINCE LOMBARDI,20K204,20,40.61368,-74.00635600000001,"8101 15TH AVE BROOKLYN, NY 11228",BROOKLYN,11228,"PK,0K,01,02,03,04,05",0,0.5429999999999999,"$56,876.96 ",Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,2.93,3.23,166,27,0,0,1,16,10,0,0,15,169,69,0,0,3,52,14,0,1,47,196,66,0,0,0,44,16,0,0,39,203,93,0,0,0,71,16,0,5,58,176,28,0,0,0,17,9,0,0,15,182,51,0,0,0,36,11,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9400000000000001,0.9400000000000001,0.96,0.85,0.81,0.96,0.5,0.14,0.01,0.96,0.19,0.3,0.09,0.19
673,P.S. 205 CLARION,20K205,20,40.614826,-73.986999,"6701 20TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,"PK,0K,01,02,03,04,05",0,0.665,"$46,604.64 ",Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Exceeding Target,2.85,3.17,189,27,0,0,2,21,0,0,0,6,195,66,0,0,1,57,0,0,0,29,164,31,0,0,1,20,10,0,0,19,168,76,0,0,2,60,14,0,2,36,130,11,0,0,0,11,0,0,0,5,135,36,0,0,0,30,4,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.86,0.92,0.76,0.8,0.85,0.56,0.3,0.01,0.96,0.21,0.23,0.11,0.2
677,P.S. 229 DYKER,20K229,20,40.610577,-74.013301,"1400 BENSON AVE BROOKLYN, NY 11228",BROOKLYN,11228,"0K,01,02,03,04,05,06,07,08",0,0.385,"$70,641.62 ",Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,3.11,3.44,138,27,0,0,0,19,7,0,0,6,139,73,0,0,0,56,15,0,0,35,151,66,0,0,0,45,21,0,0,19,154,93,0,0,0,62,28,0,0,30,133,49,0,0,0,27,14,0,0,26,135,64,0,0,0,40,17,0,1,36,125,31,0,0,0,20,8,0,0,20,127,73,0,0,0,49,20,0,1,44,94,15,0,0,0,9,5,0,0,8,97,27,0,0,0,20,6,0,0,16,85,14,0,0,0,7,7,0,0,6,54,6,0,0,0,6,0,0,0,2,0.9,0.88,0.87,0.76,0.8,0.89,0.55,0.09,0.01,0.97,0.13,0.32,0.08,0.11
678,P.S. 247 BROOKLYN,20K247,20,40.612249,-73.987219,"7000 21ST AVE BROOKLYN, NY 11204",BROOKLYN,11204,"PK,0K,01,02,03,04,05",0,0.613,"$47,650.34 ",Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,2.93,3.44,113,18,0,0,3,8,7,0,0,8,118,45,0,0,3,25,17,0,3,22,127,40,0,0,0,20,14,0,0,23,129,62,0,0,0,37,21,0,1,31,122,12,0,0,0,9,3,0,0,5,126,37,0,0,0,27,8,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.9,0.92,0.79,0.8200000000000001,0.9500000000000001,0.48,0.25,0.01,0.96,0.15,0.37,0.1,0.14
681,THE SCHOOL FOR FUTURE LEADERS,20K310,20,40.632148,-74.00754,"942 62ND ST BROOKLYN, NY 11219",BROOKLYN,11219,"0K,01,02,03,04,05",0,0.841,"$42,189.81 ",Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,2.79,3.48,87,12,0,0,0,11,0,0,1,0,89,42,0,0,0,40,0,0,10,0,75,17,0,0,0,15,0,0,2,0,78,39,0,0,0,35,0,0,8,0,64,12,0,0,0,12,0,0,1,0,65,28,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.97,0.9500000000000001,0.93,0.9500000000000001,0.99,0.85,0.5,0.01,0.98,0.08,0.06,0.03,0.08
682,P.S. 503: THE SCHOOL OF DISCOVERY,20K503,20,40.641937,-74.019313,"330 59TH ST BROOKLYN, NY 11220",BROOKLYN,11220,"PK,0K,01,02,03,04,05",0,0.8809999999999999,"$39,645.76 ",Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,2.24,2.5,191,9,0,0,4,3,0,0,2,6,196,29,0,0,11,16,0,0,9,29,157,4,0,0,1,2,0,0,0,3,158,10,0,0,5,5,0,0,0,10,156,7,0,0,4,2,0,0,0,0,158,17,0,0,9,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.88,0.89,0.85,0.87,0.93,0.19,0.55,0.01,0.9500000000000001,0.77,0.04,0.13,0.76
683,P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,20K506,20,40.641937,-74.019313,"330 59TH ST BROOKLYN, NY 11220",BROOKLYN,11220,"PK,0K,01,02,03,04,05",0,0.823,"$39,306.37 ",Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,2.46,2.75,120,3,0,0,1,2,0,0,0,3,124,19,0,0,5,13,0,0,2,19,134,17,0,0,7,7,0,0,0,0,137,34,0,0,14,17,0,0,1,33,121,9,0,0,0,8,0,0,0,6,122,20,0,0,1,19,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.93,0.93,0.85,0.8200000000000001,0.9500000000000001,0.3,0.27,0.01,0.9500000000000001,0.66,0.04,0.12,0.65
685,THE ACADEMY OF TALENTED SCHOLARS,20K682,20,40.607008,-73.986852,"50 AVE P BROOKLYN, NY 11218",BROOKLYN,11218,"0K,01,02,03,04,05",0,0.379,"$51,628.80 ",Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,3.1,3.47,49,4,0,0,0,0,2,0,0,1,49,12,0,0,1,0,9,0,0,3,48,21,0,0,0,8,10,0,0,9,48,25,0,0,0,8,12,0,0,13,60,17,0,0,0,4,13,0,0,6,60,25,0,0,0,6,18,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.9400000000000001,0.97,0.86,0.93,0.96,0.18,0.07,0.04,0.9500000000000001,0.18,0.63,0.1,0.14
686,BROOKLYN SCHOOL OF INQUIRY,20K686,20,40.607008,-73.986852,"50 AVE P BROOKLYN, NY 11218",BROOKLYN,11218,"0K,01,02,03,04,05,06,07,08",0,0.209,"$65,859.29 ",Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,3.47,3.68,54,16,0,0,0,5,10,0,0,3,54,40,0,0,0,15,21,0,0,10,59,36,0,0,0,10,22,0,0,8,58,40,0,0,0,0,25,0,0,6,62,26,0,0,0,3,19,0,0,3,62,41,0,0,0,4,31,0,0,8,90,45,0,3,0,10,28,0,0,5,90,62,0,1,0,16,43,0,0,8,50,24,0,0,0,0,22,0,0,4,50,37,0,0,0,4,31,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.97,0.9400000000000001,0.9500000000000001,0.9,0.9500000000000001,0.18,0.06,0.05,0.96,0.1,0.71,0.05,0.05
687,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,20K748,20,40.606942,-74.007327,"1664 BENSON AVE BROOKLYN, NY 11214",BROOKLYN,11214,"0K,01,02,03,04,05",0,0.525,"$52,977.43 ",Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,3.39,3.72,100,19,0,0,0,14,2,0,0,9,100,69,0,0,0,39,21,0,0,35,91,21,0,0,0,10,9,0,1,9,91,35,0,0,0,18,15,0,2,19,82,25,0,0,0,16,0,0,0,11,82,57,0,0,0,37,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.96,0.98,0.93,0.8300000000000001,0.9500000000000001,0.39,0.17,0.0,0.96,0.21,0.38,0.08,0.21
689,P.S. 90 EDNA COHEN SCHOOL,21K090,21,40.578198,-73.980151,"2840 W 12TH ST BROOKLYN, NY 11224",BROOKLYN,11224,"PK,0K,01,02,03,04,05",0,0.8390000000000001,"$30,709.21 ",Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,2.39,2.62,95,5,0,0,2,0,3,0,0,3,98,23,0,4,10,0,6,0,0,15,80,12,0,2,6,3,1,0,0,6,80,14,0,0,9,4,1,0,0,10,81,1,0,0,0,0,1,0,0,0,81,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8200000000000001,0.81,0.9,0.78,0.8200000000000001,0.84,0.11,0.16,0.13,0.92,0.72,0.15,0.31,0.59
690,P.S. 095 THE GRAVESEND,21K095,21,40.595711,-73.975173,"345 VAN SICKLEN ST BROOKLYN, NY 11223",BROOKLYN,11223,"PK,0K,01,02,03,04,05,06,07,08",0,0.695,"$40,295.15 ",Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,2.76,2.95,119,28,0,0,1,16,9,0,0,13,120,54,0,0,10,28,14,0,2,27,118,25,0,0,5,12,7,0,0,11,121,36,0,0,5,19,12,0,0,16,107,20,0,0,1,9,10,0,0,5,112,37,0,0,4,18,15,0,0,14,42,9,0,1,4,0,3,0,0,8,45,19,0,0,5,0,10,0,5,16,41,0,0,0,0,0,0,0,0,0,41,2,0,1,0,1,0,0,0,1,47,2,0,0,0,0,1,0,0,2,47,5,0,0,3,0,2,0,1,3,0.97,0.9500000000000001,0.97,0.9,0.8200000000000001,0.9400000000000001,0.29,0.14,0.09,0.9400000000000001,0.48,0.22,0.19,0.39
692,P.S. 97 THE HIGHLAWN,21K097,21,40.601211,-73.98564,"1855 STILLWELL AVE BROOKLYN, NY 11223",BROOKLYN,11223,"PK,0K,01,02,03,04,05",0,0.5710000000000001,"$46,192.81 ",Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,2.78,3.21,124,11,0,0,2,6,0,0,0,5,130,42,0,0,6,29,0,0,2,23,135,38,0,0,0,24,9,0,0,15,143,49,0,0,0,31,15,0,0,19,130,26,0,0,0,17,9,0,0,11,134,34,0,0,0,26,8,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.9,0.96,0.88,0.81,0.9500000000000001,0.5,0.26,0.01,0.96,0.21,0.29,0.1,0.2
694,P.S. 099 ISAAC ASIMOV,21K099,21,40.621491999999996,-73.96600600000001,"1120 E 10TH ST BROOKLYN, NY 11230",BROOKLYN,11230,"PK,0K,01,02,03,04,05,06,07,08",0,0.695,"$37,038.11 ",Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,2.62,2.86,91,11,0,0,0,3,7,0,0,5,94,26,0,0,0,10,14,0,0,15,92,18,0,0,0,8,9,0,0,6,96,39,0,0,3,17,17,0,1,15,85,11,0,0,1,6,4,0,0,3,88,23,0,0,2,9,12,0,0,5,82,2,0,0,0,2,0,0,0,1,86,11,0,0,1,7,3,0,1,7,80,5,0,0,2,1,0,0,0,4,84,11,0,0,3,4,0,0,0,7,69,3,0,0,0,1,2,0,0,2,51,1,0,0,0,1,0,0,1,1,0.99,1.0,0.96,0.96,0.8,0.97,0.41000000000000003,0.31,0.08,0.92,0.26,0.32,0.28,0.18
695,P.S. 100 THE CONEY ISLAND SCHOOL,21K100,21,40.577556,-73.970791,"2951 W 3RD ST BROOKLYN, NY 11229",BROOKLYN,11229,"PK,0K,01,02,03,04,05",0,0.40700000000000003,"$37,867.04 ",Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,2.97,3.28,107,9,0,0,0,0,8,0,0,4,111,32,0,0,0,0,31,0,0,14,94,37,0,0,0,0,37,0,1,16,97,41,0,1,0,0,38,0,1,19,98,25,0,2,0,0,21,0,0,9,101,35,0,1,0,0,32,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.96,0.96,0.87,0.8,0.91,0.04,0.13,0.04,0.9400000000000001,0.1,0.85,0.14,0.06
